DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
1133178-DCA,Business,06/30/2011,Inactive,03/06/2003,Home Improvement Contractor,"LETHTINEN, DANIELLE, LEHTINEN, KEITH",K.D. CONSTRUCTION,83,2ND PL,,BROOKLYN,NY,11231,7188103389,Brooklyn,3,306,39,3005163,3003610039,BK33,65,,-73.99800623883573,40.679709753247074,"(40.679709753247074, -73.99800623883573)"
1309030-DCA,Business,12/31/2010,Inactive,02/10/2009,Tobacco Retail Dealer,HEALTHY FOOD & DELI INC.,,556,COURT ST,,BROOKLYN,NY,11231,7188553663,Brooklyn,3,306,39,3005707,3003820034,BK33,65,,-73.99947726076401,40.6749640549246,"(40.6749640549246, -73.99947726076401)"
1445511-DCA,Business,02/28/2021,Active,09/20/2012,Home Improvement Contractor,PILKU CONSTRUCTION SERVICES INC.,,150,MILL ST,,BROOKLYN,NY,11231,7188752206,Brooklyn,3,306,38,3000000,3005520013,BK33,53,,-74.00093011444982,40.674900922529964,"(40.674900922529964, -74.00093011444982)"
2043108-DCA,Business,02/28/2021,Active,08/30/2016,Home Improvement Contractor,Staghorn NYC LLC,,201,RICHARDS ST,,BROOKLYN,NY,11231,3476743994,Brooklyn,3,306,38,3008818,3005990002,BK33,53,,-74.01277290060762,40.67516097090006,"(40.67516097090006, -74.01277290060762)"
0789922-DCA,Business,05/15/2014,Inactive,12/15/2006,Sidewalk Cafe,345 COURT ST. CORP.,MARCO POLO RISTORANTE,345,COURT ST,,BROOKLYN,NY,11231,7188525015,Brooklyn,3,306,39,3007223,3004350009,BK33,75,"Sidewalk Cafe Type: Enclosed, Square Feet: 420, Tables: 10, Chairs: 30",-73.99592218603972,40.68228978476067,"(40.68228978476067, -73.99592218603972)"
1405048-DCA,Business,12/31/2012,Inactive,08/24/2011,Tobacco Retail Dealer,REDHOOK GOURMET CORP,,51,WOLCOTT ST,,BROOKLYN,NY,11231,9174153274,Brooklyn,3,306,38,3336637,3005770007,BK33,53,,-74.01121205830884,40.67617121067159,"(40.67617121067159, -74.01121205830884)"
0997733-DCA,Business,07/31/2017,Inactive,10/14/1998,Secondhand Dealer - General,"BUSCAGLIA, LAURA A",BOPKAT,117,UNION ST,,BROOKLYN,NY,11231,7186231815,Brooklyn,3,306,39,3348876,3003357501,BK33,51,,-74.00343615069133,40.68451581585199,"(40.68451581585199, -74.00343615069133)"
1370367-DCA,Business,12/31/2011,Inactive,09/10/2010,Tobacco Retail Dealer,COBBLE HILL VARIETY CORP,,495,HENRY ST,,BROOKLYN,NY,11231,9172025422,Brooklyn,3,306,39,3340587,3003320009,BK33,67,,-73.99893633441772,40.685097753815384,"(40.685097753815384, -73.99893633441772)"
1364728-DCA,Business,06/30/2011,Inactive,08/02/2010,Home Improvement Contractor,JOHN C. WATSON,WATSON GREEN DESIGN BUILD,98,PIONEER ST,,BROOKLYN,NY,11231,3039089434,Brooklyn,3,306,38,3008409,3005310040,BK33,59,,-74.0101272283911,40.67830674555802,"(40.67830674555802, -74.0101272283911)"
2067207-DCA,Business,02/28/2021,Active,03/03/2018,Home Improvement Contractor,DIMASTERY LLC,,281,VAN BRUNT ST,,BROOKLYN,NY,11231,9172541789,Brooklyn,3,306,38,3008396,3005310005,BK33,59,,-74.01077631474662,40.67914933210729,"(40.67914933210729, -74.01077631474662)"
0903494-DCA,Business,12/31/2017,Inactive,01/03/1996,Laundry Jobber,"WHA, KYUNG SOON",CH PLAZA   DRY CLEANERS,400,COURT ST,,BROOKLYN,NY,11231,7188552221,Brooklyn,3,306,39,3004972,3003560033,BK33,65,,-73.99675874261104,40.68060452091624,"(40.68060452091624, -73.99675874261104)"
1321609-DCA,Business,02/28/2021,Active,06/10/2009,Home Improvement Contractor,"MOON MAINTENANCE PLUS, LTD.",,548,HENRY ST,,BROOKLYN,NY,11231,6465150072,Brooklyn,3,306,39,3004738,3003490027,BK33,63,,-74.0002776233178,40.68235298644782,"(40.68235298644782, -74.0002776233178)"
1324557-DCA,Business,06/30/2013,Inactive,07/06/2009,Home Improvement Contractor,"VMLTD, LIMITED",,38,TIFFANY PL,,BROOKLYN,NY,11231,7188341310,Brooklyn,3,306,39,3331262,3003190062,BK33,47,,-74.00107089781233,40.68640152009775,"(40.68640152009775, -74.00107089781233)"
1041330-DCA,Business,12/31/2012,Inactive,03/06/2009,Tobacco Retail Dealer,SALE BROTHERS ASSOCIATES INC.,,431,COURT ST,,BROOKLYN,NY,11231,7186243788,Brooklyn,3,306,39,3008017,3004670008,BK33,77,,-73.99777553843174,40.67844166365438,"(40.67844166365438, -73.99777553843174)"
2065017-DCA,Business,12/31/2019,Inactive,01/17/2018,Laundries,"CHAN, SAU MAY",SMITH LUCKY MAY,313,SMITH ST,,BROOKLYN,NY,11231,6464315059,Brooklyn,3,306,39,3007264,3004360006,BK33,75,Laundry Type: Retail Laundry,-73.99410149522419,40.6813427592863,"(40.6813427592863, -73.99410149522419)"
2014494-DCA,Business,12/31/2015,Inactive,10/10/2014,Laundry Jobber,KELLY DRY CLEANER INC.,,534,HENRY ST,,BROOKLYN,NY,11231,7186246724,Brooklyn,3,306,39,3004493,3003430032,BK33,63,,-74.0000108165824,40.68290468601848,"(40.68290468601848, -74.0000108165824)"
2032488-1-DCA,Business,12/31/2019,Active,01/15/2016,Tobacco Retail Dealer,RED HOOK DELI AND GROCERY 2015 CORP,,66,LORRAINE ST,,BROOKLYN,NY,11231,9292335925,Brooklyn,3,306,38,3008668,3005800005,BK33,53,,-74.0071668814827,40.67446428384838,"(40.67446428384838, -74.0071668814827)"
1291862-DCA,Business,06/30/2011,Inactive,07/09/2008,Home Improvement Contractor,DIFRANCESCO CONSTRUCTION INC.,,317,VAN BRUNT ST,,BROOKLYN,NY,11231,3472277477,Brooklyn,3,306,38,3008546,3005560007,BK33,53,,-74.01191181984792,40.678185804595564,"(40.678185804595564, -74.01191181984792)"
1073585-DCA,Business,06/30/2011,Inactive,02/27/2001,Home Improvement Contractor,"CONSTRUCTION SERVICES U.S.A, INC.",,140,2ND ST,,BROOKLYN,NY,11231,7182464747,Brooklyn,3,306,39,3007919,3004620009,BK33,77,,-73.99074900210144,40.67724184704687,"(40.67724184704687, -73.99074900210144)"
1376821-DCA,Business,12/31/2017,Inactive,11/15/2010,Laundry Jobber,DELVAN LAUNDROMAT SERVICE INC.,,289,COLUMBIA ST,,BROOKLYN,NY,11231,7187971600,Brooklyn,3,306,39,3005013,3003580009,BK33,51,,-74.0040417548592,40.68222116672168,"(40.68222116672168, -74.0040417548592)"
1472716-DCA,Business,02/28/2021,Active,08/30/2013,Home Improvement Contractor,NICK PAWSON LLC,,174,CARROLL ST,,BROOKLYN,NY,11231,9179166465,Brooklyn,3,306,39,3004924,3003550018,BK33,65,,-73.99910584435244,40.681773836308885,"(40.681773836308885, -73.99910584435244)"
2034131-1-DCA,Business,12/31/2017,Inactive,03/08/2016,Tobacco Retail Dealer,COURT FOOD CORP I,,545,COURT ST,,BROOKLYN,NY,11231,347-773-9876,Brooklyn,3,306,39,3008175,3004790005,,,,-73.99975485564428,40.67433275760378,"(40.67433275760378, -73.99975485564428)"
2010407-1-DCA,Business,12/31/2017,Inactive,07/07/2014,Tobacco Retail Dealer,CARROLL GARDENS DELI & GRILL CORP.,,301,SMITH ST,,BROOKLYN,NY,11231,718-852-6035,Brooklyn,3,306,39,3007052,3004290001,BK33,75,,-73.9938058083609,40.68177916260592,"(40.68177916260592, -73.9938058083609)"
1350213-DCA,Business,12/31/2011,Inactive,04/14/2010,Tobacco Retail Dealer,COLUMBIA ST. DELI INC.,,421,COLUMBIA ST,,BROOKLYN,NY,11231,7186434316,Brooklyn,3,306,38,3008432,3005340010,BK33,59,,-74.00617579547172,40.67779649756279,"(40.67779649756279, -74.00617579547172)"
1134678-DCA,Business,06/30/2013,Inactive,04/02/2003,Home Improvement Contractor,LIBERTY IRON CORP.,,83,LUQUER ST,,BROOKLYN,NY,11231,7186210680,Brooklyn,3,306,39,3005447,3003730001,BK33,65,,-74.00146734174913,40.677999767218964,"(40.677999767218964, -74.00146734174913)"
1211552-DCA,Business,06/30/2020,Active,10/03/2005,Scrap Metal Processor,ALLOCCO RECYCLING LTD,,500,HENRY ST,,BROOKLYN,NY,11231,7183493094,Brooklyn,3,306,39,3004117,3003310030,BK33,63,,-73.99936541439403,40.68424687777694,"(40.68424687777694, -73.99936541439403)"
1298097-DCA,Business,06/30/2011,Inactive,09/02/2008,Home Improvement Contractor,"PRECISION MAINTENANCE & CONSTRUCTION, INC.",,190,COLUMBIA ST,,BROOKLYN,NY,11231,7188029370,Brooklyn,3,306,39,3004065,3003290032,BK33,51,,-74.0024698834993,40.68552866133627,"(40.68552866133627, -74.0024698834993)"
1426127-DCA,Business,12/31/2015,Inactive,04/23/2012,Tobacco Retail Dealer,NEW LUCKY STAR INC.,,353,SMITH ST,,BROOKLYN,NY,11231,9173702008,Brooklyn,3,306,39,3007556,3004500006,BK33,77,,-73.99509309969876,40.679879841834826,"(40.679879841834826, -73.99509309969876)"
1099886-DCA,Business,12/31/2016,Inactive,01/14/2002,Tobacco Retail Dealer,"SHEIKH, MOHAMMED S",HOYT STREET DELI & GROCERY,347,HOYT ST,,BROOKLYN,NY,11231,7185227449,Brooklyn,3,306,39,3007627,3004510008,BK33,77,,-73.99260544364424,40.67947348240383,"(40.67947348240383, -73.99260544364424)"
1319505-DCA,Business,07/31/2013,Inactive,05/26/2009,Secondhand Dealer - General,P.M. TIRE SHOP CORP.,,543,COURT ST,,BROOKLYN,NY,11231,7182467349,Brooklyn,3,306,39,3008176,3004790006,BK33,77,,-73.99973683016154,40.674373929190246,"(40.674373929190246, -73.99973683016154)"
1351662-DCA,Business,07/31/2017,Inactive,04/26/2010,Secondhand Dealer - Auto,T-BIRDS AUTOMOTIVE LTD.,AZZURE MOTOR CARS,688,HENRY ST,,BROOKLYN,NY,11231,7188021500,Brooklyn,3,306,38,3000000,3005260025,BK33,59,,-74.00276159715109,40.67718454555281,"(40.67718454555281, -74.00276159715109)"
2001571-DCA,Business,02/28/2015,Inactive,12/12/2013,Home Improvement Contractor,J. THOMAS CONSTRUCTION LLC,,249,SMITH ST,,BROOKLYN,NY,11231,9176993810,Brooklyn,3,306,33,3006697,3004150008,BK33,75,,-73.99276726786653,40.68331068498801,"(40.68331068498801, -73.99276726786653)"
2000242-DCA,Business,03/15/2021,Active,10/26/2013,Dealer In Products,"MEDICAL LOGISTICS, INC.",,472,COURT ST,,BROOKLYN,NY,11231,718-935-0990,Brooklyn,3,306,39,3341730,3003740130,BK33,65,,-73.9981288756522,40.67775822125657,"(40.67775822125657, -73.9981288756522)"
1409008-DCA,Business,12/31/2012,Inactive,09/26/2011,Electronics Store,"DAV METRO PARTNER ASSOCIATE, CORP",,603,CLINTON ST,,BROOKLYN,NY,11231,7186432832,Brooklyn,3,306,38,3008516,3005520003,BK33,53,,-74.00177731076894,40.674865230488074,"(40.674865230488074, -74.00177731076894)"
1470715-DCA,Business,03/31/2020,Active,08/05/2013,Stoop Line Stand,VINAYAK GROCERY INC.,SMITH STREET GROCERY & CONVENIENCE,2,2ND ST,,BROOKLYN,NY,11231,646-331-8591,Brooklyn,3,306,39,3336314,3004600001,BK33,77,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99506790315681,40.67932539654247,"(40.67932539654247, -73.99506790315681)"
1259262-DCA,Business,12/31/2010,Inactive,06/20/2007,Tobacco Retail Dealer,LUZBAGEL LLC,F STOP BAGEL LINE,476,SMITH ST,,BROOKLYN,NY,11231,7184220001,Brooklyn,3,306,39,3008147,3004760032,BK33,77,,-73.99772879226028,40.67484326359906,"(40.67484326359906, -73.99772879226028)"
1012276-DCA,Business,03/31/2021,Active,08/18/2011,Parking Lot,CANAL CAR PARK INC.,,313,BOND ST,,BROOKLYN,NY,11231,2122216111,Brooklyn,3,,,,,BK33,75,"Vehicle Spaces: 120, Bicycle Spaces: 12",-77.51958437167269,40.11238533659802,"(40.11238533659802, -77.51958437167269)"
1384280-DCA,Business,06/30/2013,Inactive,03/08/2011,Home Improvement Contractor,NICOROB CORPORATION,SERVPRO OF NORTHWEST BROOKLYN,141,BEARD ST,,BROOKLYN,NY,11231,7185224400,Brooklyn,3,306,38,3336681,3006120001,BK33,53,,-74.01501522141102,40.67490818082405,"(40.67490818082405, -74.01501522141102)"
1396280-DCA,Business,09/15/2013,Inactive,06/14/2011,Sidewalk Cafe,CEE RESTAURANT LLC,SAVOIA,277,SMITH ST,,BROOKLYN,NY,11231,7187972727,Brooklyn,3,306,33,3006870,3004220004,BK33,75,"Sidewalk Cafe Type: Unenclosed, Square Feet: 160, Tables: 8, Chairs: 16",-73.99330818015439,40.68251473376902,"(40.68251473376902, -73.99330818015439)"
2001688-DCA,Business,02/28/2021,Active,12/17/2013,Home Improvement Contractor,"CONSTRUCTION SERVICES OF NY, INC.",,140,2ND ST,,BROOKLYN,NY,11231,7182464747,Brooklyn,3,306,39,3007919,3004620009,BK33,77,,-73.99074900210144,40.67724184704687,"(40.67724184704687, -73.99074900210144)"
0919860-DCA,Business,02/28/2021,Active,11/28/2005,Home Improvement Contractor,EVERLAST CUSTOM CONSTRUCTION CORP.,,405,VAN BRUNT ST,,BROOKLYN,NY,11231,7187882625,Brooklyn,3,306,38,3395693,3006040008,BK33,53,,-74.01488920791758,40.675646541626904,"(40.675646541626904, -74.01488920791758)"
2076734-DCA,Business,02/28/2021,Active,08/07/2018,Home Improvement Contractor,SKINNER INTERIORWERX INC.,INTERIORWERX,410,PRESIDENT ST,,BROOKLYN,NY,11231,718-243-1378,Brooklyn,3,306,39,3007466,3004440037,BK33,75,,-73.99031605749597,40.67943214089687,"(40.67943214089687, -73.99031605749597)"
1465675-DCA,Business,02/28/2015,Inactive,05/22/2013,Home Improvement Contractor,CUB CRAFT LLC,,481,VAN BRUNT ST,,BROOKLYN,NY,11231,7183300075,Brooklyn,3,306,38,0,3000000000,BK33,53,,-74.01675266420231,40.674059805454625,"(40.674059805454625, -74.01675266420231)"
2018480-DCA,Business,02/28/2021,Active,02/19/2015,Home Improvement Contractor,NEW AGE GENERAL CONTRACTING INC.,,721,HENRY ST,,BROOKLYN,NY,11231,7182370771,Brooklyn,3,306,38,3008453,3005360001,BK33,59,,-74.00313650124755,40.676363848432715,"(40.676363848432715, -74.00313650124755)"
2037081-DCA,Business,02/28/2021,Active,05/04/2016,Home Improvement Contractor,"VMLTD, LIMITED",,38,TIFFANY PL,,BROOKLYN,NY,11231,718-834-1310,Brooklyn,3,306,39,3331262,3003190062,BK33,47,,-74.00107089781233,40.68640152009775,"(40.68640152009775, -74.00107089781233)"
1301922-DCA,Business,03/31/2020,Active,08/26/2011,Stoop Line Stand,GOURMET FRESH LLC,,437,COURT ST,,BROOKLYN,NY,11231,718-797-3352,Brooklyn,3,306,39,3008015,3004670005,BK33,77,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 3, 5.01 to 10 foot stands: 0",-73.9978584655665,40.67826874448112,"(40.67826874448112, -73.9978584655665)"
2081704-DCA,Business,02/28/2021,Active,01/28/2019,Home Improvement Contractor,ANNA GRATIA INC.,INTELLIGENT HOME CORP,294,VAN BRUNT ST,,BROOKLYN,NY,11231,347-633-0711,Brooklyn,3,306,38,3008369,3005290033,BK33,59,,-74.01034013177706,40.67954461950801,"(40.67954461950801, -74.01034013177706)"
0881274-DCA,Business,12/31/2017,Inactive,11/06/1995,Laundry,"PARK, JONG C",NOBLE CLEANER,284,COURT ST,,BROOKLYN,NY,11231,7182370093,Brooklyn,3,306,39,3004037,3003260054,BK33,67,,-73.99496297053821,40.68432911243504,"(40.68432911243504, -73.99496297053821)"
1373205-DCA,Business,06/30/2011,Inactive,10/01/2010,Home Improvement Contractor,"MIRABAL, GABRIEL M",,177,LUQUER ST,,BROOKLYN,NY,11231,5057202362,Brooklyn,3,306,39,3005518,3003740035,BK33,65,,-73.99876701435595,40.67723946757079,"(40.67723946757079, -73.99876701435595)"
1122618-DCA,Business,12/31/2020,Active,09/10/2002,Tobacco Retail Dealer,BUSH DELI CORP.,,507,CLINTON ST,,BROOKLYN,NY,11231,718-243-1442,Brooklyn,3,306,39,3005382,3003710001,BK33,65,,-73.99998557883396,40.678540497009884,"(40.678540497009884, -73.99998557883396)"
1352460-DCA,Business,12/15/2018,Inactive,05/05/2010,Sidewalk Cafe,"FRANCESCA MERCHANTS, LLC",PRIME MEAT,465,COURT ST,,BROOKLYN,NY,11231,7184030033,Brooklyn,3,306,39,3336354,3004700001,BK33,77,"Sidewalk Cafe Type: Unenclosed, Square Feet: 301, Tables: 12, Chairs: 24",-73.99845336488731,40.67703360572001,"(40.67703360572001, -73.99845336488731)"
1162032-DCA,Business,03/31/2020,Active,07/18/2006,Stoop Line Stand,GIANNINO'S PIZZA CORP.,,305,COURT ST,,BROOKLYN,NY,11231,7188526890,Brooklyn,3,306,39,3006821,3004210010,BK33,75,"Product Category: Ice Cream, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99527310155337,40.68363744308253,"(40.68363744308253, -73.99527310155337)"
1297205-DCA,Business,06/30/2013,Inactive,08/25/2008,Home Improvement Contractor,ALPHA-OMEGA CONSTRUCTION CORP.,,83,BUTLER ST,,BROOKLYN,NY,11231,3476836755,Brooklyn,3,306,33,3006447,3004030068,BK38,69,,-73.99158817219433,40.68395288148012,"(40.68395288148012, -73.99158817219433)"
1296747-DCA,Business,07/31/2013,Inactive,08/21/2008,Secondhand Dealer - General,PRANGA INC.,PRANGA BOOKSTORE,354,COURT ST,,BROOKLYN,NY,11231,7186242927,Brooklyn,3,306,39,3004580,3003450029,BK33,67,,-73.99601593790834,40.6821388255595,"(40.6821388255595, -73.99601593790834)"
2037803-DCA,Business,02/28/2021,Active,05/18/2016,Home Improvement Contractor,REFORM BUILDERS LLC,,98,4TH ST,,BROOKLYN,NY,11231,212-203-9893,Brooklyn,3,306,39,3008082,3004710125,BK33,77,,-73.99296627833439,40.67662442975467,"(40.67662442975467, -73.99296627833439)"
1306678-DCA,Business,12/31/2018,Inactive,12/24/2008,Tobacco Retail Dealer,"GENOVESE DRUG STORES, INC.",RITE AID STORE #10584,320,SMITH ST,,BROOKLYN,NY,11231,7187455163,Brooklyn,3,306,39,3387568,3004357502,BK33,75,,-73.99428899871083,40.681103973511874,"(40.681103973511874, -73.99428899871083)"
2018953-2-DCA,Business,12/31/2020,Active,03/03/2015,Tobacco Retail Dealer,"CARROLL GARDEN DELI GROCERY, INC",,245,COLUMBIA ST,,BROOKLYN,NY,11231,718-875-6276,Brooklyn,3,306,39,3338860,3003427501,BK33,51,,-74.00327746938427,40.68381864844352,"(40.68381864844352, -74.00327746938427)"
1467500-DCA,Business,03/31/2020,Active,06/18/2013,Stoop Line Stand,57 JR FOODS CORP,C-TOWN,57,MILL ST,,BROOKLYN,NY,11231,7188581924,Brooklyn,3,306,38,3008472,3005390037,BK33,59,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00469751387465,40.67597129253737,"(40.67597129253737, -74.00469751387465)"
2080394-DCA,Business,02/28/2021,Active,12/03/2018,Home Improvement Contractor,NATIVE BUILDERS  GROUP INC,,502,COURT ST,,BROOKLYN,NY,11231,3476051313,Brooklyn,3,306,39,3005590,3003770035,BK33,65,,-73.99863723738648,40.67670149036032,"(40.67670149036032, -73.99863723738648)"
1244857-DCA,Business,04/30/2018,Inactive,04/27/2012,Tow Truck Company,T-BIRDS AUTOMOTIVE LTD.,AZZURE MOTOR CARS,688,HENRY ST,,BROOKLYN,NY,11231,7188021500,Brooklyn,3,306,38,3000000,3005260025,BK33,59,"Active Plate Numbers:  6827, 5134, 6927",-74.00276159715109,40.67718454555281,"(40.67718454555281, -74.00276159715109)"
1422815-DCA,Business,04/15/2020,Active,04/05/2012,Sidewalk Cafe,345 COURT ST. CORP.,MARCO POLO RISTORANTE,345,COURT ST,,BROOKLYN,NY,11231,7188525015,Brooklyn,3,306,39,3007223,3004350009,BK33,75,"Sidewalk Cafe Type: Unenclosed, Square Feet: 252, Tables: 15, Chairs: 30",-73.99592218603972,40.68228978476067,"(40.68228978476067, -73.99592218603972)"
1109610-DCA,Business,02/28/2021,Active,02/14/2008,Home Improvement Contractor,ALCO STORE DEVELOPMENT CORP.,,134,VAN DYKE ST,,BROOKLYN,NY,11231,7188322019,Brooklyn,3,306,38,3008800,3005970032,BK33,53,,-74.01524981305158,40.676047231492326,"(40.676047231492326, -74.01524981305158)"
1046177-DCA,Business,12/31/2013,Inactive,12/28/2000,Tobacco Retail Dealer,JENNIFER ENTERPRISES CORP,,365,SMITH ST,,BROOKLYN,NY,11231,7188021446,Brooklyn,3,306,39,3336314,3004600001,BK33,77,,-73.99541040383662,40.6794132434634,"(40.6794132434634, -73.99541040383662)"
2079716-DCA,Business,02/28/2021,Active,11/07/2018,Home Improvement Contractor,Triangle General Contractors Inc,,39,COFFEY ST,,BROOKLYN,NY,11231,7184626262,Brooklyn,3,306,38,3336663,3005990017,BK33,53,,-74.0117273177029,40.674584679489016,"(40.674584679489016, -74.0117273177029)"
1472628-DCA,Business,03/31/2016,Inactive,08/30/2013,Stoop Line Stand,DANIS BROTHERS REALTY INC.,BIG APPLE GOURMET FOOD,303,COURT ST,,BROOKLYN,NY,11231,7185226700,Brooklyn,3,306,33,3006635,3004140001,BK33,75,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 7, 5.01 to 10 foot stands: 0",-73.99517213077132,40.68384329678657,"(40.68384329678657, -73.99517213077132)"
2077758-DCA,Business,02/28/2021,Active,08/31/2018,Home Improvement Contractor,BROOKLYN HOME REMODEL LLC,,92,LUQUER ST,,BROOKLYN,NY,11231,917-439-4972,Brooklyn,3,306,39,3005538,3003760016,BK33,65,,-74.00146373600492,40.6779778090739,"(40.6779778090739, -74.00146373600492)"
1295781-DCA,Business,02/28/2021,Active,08/14/2008,Home Improvement Contractor,FALCON HOLDING CORP.,,15,CARROLL ST,,BROOKLYN,NY,11231,7187973757,Brooklyn,3,306,39,3398479,3003470060,BK33,51,,-74.00515594861973,40.68347822788117,"(40.68347822788117, -74.00515594861973)"
1372357-DCA,Business,04/30/2018,Inactive,10/01/2010,Tow Truck Exemption,PICTURE CARS EAST INC.,,72,HUNTINGTON ST,,BROOKLYN,NY,11231,7188522300,Brooklyn,3,306,38,3330303,3005350026,BK33,59,,-74.00356555611587,40.67709669067429,"(40.67709669067429, -74.00356555611587)"
2028647-2-DCA,Business,12/31/2018,Inactive,09/21/2015,Tobacco Retail Dealer,COLOMBIA FOOD MARKET CORP,,1,W 9TH ST,,BROOKLYN,NY,11231,718-625-2829,Brooklyn,3,306,38,3008424,3005340001,BK33,59,,-74.0064713677479,40.67719537580144,"(40.67719537580144, -74.0064713677479)"
2059866-DCA,Business,12/31/2019,Active,10/25/2017,Laundries,"LEE, PYUNG LIM",CH Plaza Dry Cleaners,400,COURT ST,,BROOKLYN,NY,11231,,Brooklyn,3,306,39,3004972,3003560033,BK33,65,Laundry Type: Retail Laundry,-73.99675874261104,40.68060452091624,"(40.68060452091624, -73.99675874261104)"
1156390-DCA,Business,12/31/2010,Inactive,11/21/2003,Tobacco Retail Dealer,"GENOVESE DRUG STORES, INC.",ECKERD STORE #5504,291,PRESIDENT ST,,BROOKLYN,NY,11231,7184039371,Brooklyn,3,306,39,3387568,3004350502,BK33,75,,-73.99483341100013,40.681202811066406,"(40.681202811066406, -73.99483341100013)"
1229879-DCA,Business,12/31/2011,Inactive,06/08/2006,Tobacco Retail Dealer,"FATAIH, RASHED A.",MILL STREET GROCERY,732,HENRY ST,,BROOKLYN,NY,11231,7188523288,Brooklyn,3,306,38,3397377,3005390024,BK33,59,,-74.00337081548935,40.67592742266216,"(40.67592742266216, -74.00337081548935)"
1308240-DCA,Business,02/28/2021,Active,01/28/2009,Home Improvement Contractor,PHILIP D BIRD,THE ENGLISH PAINTING CO,80,BUTLER ST,,BROOKLYN,NY,11231,7186240404,Brooklyn,3,306,33,3006552,3004090015,BK38,69,,-73.99142593149642,40.68387052634861,"(40.68387052634861, -73.99142593149642)"
1312858-DCA,Business,12/15/2011,Inactive,03/31/2009,Sidewalk Cafe,220 CONOVER STREET RESTAURANT CORP.,,220,CONOVER ST,,BROOKLYN,NY,11231,3472479410,Brooklyn,3,306,38,3008680,3005850036,BK33,53,"Sidewalk Cafe Type: Unenclosed, Square Feet: 320, Tables: 11, Chairs: 22",-74.01531857140509,40.677180814176225,"(40.677180814176225, -74.01531857140509)"
1321331-DCA,Business,06/30/2011,Inactive,06/08/2009,Home Improvement Contractor,"TANCREDI, WILLIAM",OLD CITY CONSTRUCTION,306,PRESIDENT ST,,BROOKLYN,NY,11231,2674749308,Brooklyn,3,306,39,3007389,3004430013,BK33,75,,-73.99380230646268,40.68066478466025,"(40.68066478466025, -73.99380230646268)"
1352658-DCA,Business,03/31/2014,Inactive,05/05/2010,Stoop Line Stand,"ABUHAMDEH, NASHAAT M.",RIZNA ENTERPIRZE,298,SMITH ST,,BROOKLYN,NY,11231,9173128775,Brooklyn,3,306,39,3323348,3004280038,BK33,75,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99382383493128,40.68178739789274,"(40.68178739789274, -73.99382383493128)"
1436211-DCA,Business,06/30/2018,Inactive,07/02/2012,Electronic & Appliance Service,EXPERT CENTER INC.,,293,COURT ST,,BROOKLYN,NY,11231,7188585444,Brooklyn,3,306,33,3006639,3004140006,BK33,75,,-73.9950459157544,40.68410953429305,"(40.68410953429305, -73.9950459157544)"
1066561-DCA,Business,06/30/2011,Inactive,02/18/2003,Home Improvement Contractor,"NUTONE PRODUCTIONS, LTD.",,389,COLUMBIA ST,,BROOKLYN,NY,11231,7188581886,Brooklyn,3,306,38,3008322,3005200001,BK33,59,,-74.0057288230634,40.67871327513327,"(40.67871327513327, -74.0057288230634)"
1053306-DCA,Business,12/31/2014,Inactive,12/05/2000,Tobacco Retail Dealer,"NAJMUDDIN,ALMWALLED",CAROL GARDENS DELI & GROCERY,321,SMITH ST,,BROOKLYN,NY,11231,7189999999,Brooklyn,3,306,39,3007325,3004360102,BK33,75,,-73.99423491370008,40.68114514240725,"(40.68114514240725, -73.99423491370008)"
1154935-DCA,Business,02/28/2021,Active,10/28/2003,Home Improvement Contractor,EXCEL BUILDERS & RENOVATORS INC.,,65,WOODHULL ST,,BROOKLYN,NY,11231,7186245300,Brooklyn,3,306,39,3005079,3003590047,BK33,63,,-74.00222455156886,40.6811397757822,"(40.6811397757822, -74.00222455156886)"
1335626-DCA,Business,02/28/2021,Active,10/08/2009,Home Improvement Contractor,ETNA CONTRACTING INC.,,171,DWIGHT ST,,BROOKLYN,NY,11231,7188584668,Brooklyn,3,306,38,3008836,3006000004,BK33,53,,-74.0115145039167,40.67392321017502,"(40.67392321017502, -74.0115145039167)"
1066669-DCA,Business,12/31/2011,Inactive,11/22/2000,Tobacco Retail Dealer,"NASSER, CINDY KAID",EXPRESS DELI,131,BUTLER ST,,BROOKLYN,NY,11231,7182468074,Brooklyn,3,306,33,3006435,3004030044,BK38,69,,-73.99031547355114,40.68345323290567,"(40.68345323290567, -73.99031547355114)"
